dimension,category,study_count,study_denominator,study_fraction,label_assignment_denominator,assignment_fraction
generation_metric,Human Quality,2,144,0.013888888888888888,1019,0.001962708537782139
generation_metric,Human Task Completion Time,2,144,0.013888888888888888,1019,0.001962708537782139
generation_metric,Input Attack Rate,2,144,0.013888888888888888,1019,0.001962708537782139
generation_metric,Iteration Count,2,144,0.013888888888888888,1019,0.001962708537782139
generation_metric,Killed Mutant Count,2,144,0.013888888888888888,1019,0.001962708537782139
generation_metric,LLM Calls,2,144,0.013888888888888888,1019,0.001962708537782139
generation_metric,Partial Pass Rate,2,144,0.013888888888888888,1019,0.001962708537782139
generation_metric,Path Coverage,2,144,0.013888888888888888,1019,0.001962708537782139
generation_metric,Query Count,2,144,0.013888888888888888,1019,0.001962708537782139
generation_metric,Static Warnings,2,144,0.013888888888888888,1019,0.001962708537782139
generation_metric,Test Strength,2,144,0.013888888888888888,1019,0.001962708537782139
generation_metric,AST Similarity,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Additional Mock Count,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Additional Successfully Tested Method Count,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Adoption Intention,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Assertion Complexity,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Assertion Error Rate,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Assertion Failure Rate,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Assertion-error Distribution,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Auxiliary evaluation only (no test-quality metrics),1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Average Unique Valid Verification Count per Seed,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Branch Overlap Ratio,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Breaking-change Detecting Test Count,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Breaking-change Detection,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Bug-revealing Test/Suite Count,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Bug-validating Suite Rate,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,C3 Coverage,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,C3 Invocation Coverage,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Changed Test LOC,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Code Complexity,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Code Extraction Success,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Code Quality,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Code-documentation Inconsistency Detection,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Cognitive Load,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Comment Presence,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Compilable Test Count,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Compilation-error Distribution,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Compile Error Rate,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Compile Rate (evidence unresolved),1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Composite Test Quality,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Composite Utility,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Computational Cost,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Condition Coverage,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Correct Assertion Rate (definition disputed),1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Correct Fault-revealing Test Rate,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Cost-normalized Detection,1,144,0.006944444444444444,1019,0.0009813542688910696
generation_metric,Coverage (unspecified),1,144,0.006944444444444444,1019,0.0009813542688910696
